City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,caravelas,-17.7125,-39.2481,78.89,85,46,11.61,BR,1675563964
282,am timan,11.0297,20.2827,74.64,17,98,6.51,TD,1675563964
283,grindavik,63.8424,-22.4338,39.9,93,100,34.52,IS,1675563965
284,geraldton,-28.7667,114.6,82.81,65,33,12.66,AU,1675563966
285,verkhoyansk,67.5447,133.385,-35.34,96,100,1.16,RU,1675563967
286,mattru,7.6244,-11.8332,73.11,97,20,1.21,SL,1675563968
287,medea,36.2642,2.7539,37.15,75,0,0.98,DZ,1675563798
288,yar-sale,66.8333,70.8333,5.76,97,89,6.2,RU,1675563969
289,kapit,2.0167,112.9333,83.8,71,80,1.63,MY,1675563969
290,hofn,64.2539,-15.2082,32.72,94,100,8.37,IS,1675563970
291,media luna,20.1419,-77.435,75.11,80,20,7.45,CU,1675563971
292,sakakah,29.9697,40.2064,42.37,71,54,2.62,SA,1675563972
293,morro bay,35.3658,-120.8499,60.4,87,100,6.98,US,1675563973
294,inhambane,-23.865,35.3833,75.02,86,29,8.39,MZ,1675563973
295,sabang,5.8933,95.3214,81.86,74,24,16.42,ID,1675563974
296,lavrentiya,65.5833,-171.0,-8.25,91,97,7.25,RU,1675563974
297,dicabisagan,17.0818,122.4157,75.85,84,97,5.77,PH,1675563975
298,tautira,-17.7333,-149.15,80.17,78,99,13.15,PF,1675563976
299,souillac,-20.5167,57.5167,79.18,83,40,4.61,MU,1675563703
300,razdolnoye,43.55,131.9167,16.21,66,100,5.17,RU,1675563977
301,trinidad,-14.8333,-64.9,71.37,98,100,3.0,BO,1675563977
302,naples,40.8333,14.25,47.75,45,0,17.27,IT,1675563444
303,sitka,57.0531,-135.33,37.29,87,100,12.66,US,1675563858
304,bolekhiv,49.0661,23.8643,19.92,96,100,8.5,UA,1675563979
305,bilma,18.6853,12.9164,67.95,19,74,2.8,NE,1675563980
306,simao,22.7886,100.9748,66.47,54,51,2.35,CN,1675563981
